City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Januaria,BR,2021-07-14 02:10:24,-15.4833,-44.3667,66.13,43,10,1.34
262,Hambantota,LK,2021-07-14 02:06:10,6.1241,81.1185,77.34,100,20,9.22
263,Qurayyat,SA,2021-07-14 02:10:25,31.3318,37.3428,75.79,40,73,15.19
264,Bom Jesus Do Itabapoana,BR,2021-07-14 02:10:25,-21.1339,-41.6797,64.69,94,1,0.98
265,Ayagoz,KZ,2021-07-14 02:10:25,47.9714,80.4392,68.77,41,25,21.25
266,Esperance,AU,2021-07-14 02:10:26,-33.8667,121.9,58.62,68,41,25.48
267,Likasi,CD,2021-07-14 02:10:26,-10.9814,26.7333,54.66,59,76,2.24
268,Shakhovskaya,RU,2021-07-14 02:10:26,56.0283,35.5097,65.77,83,0,3.8
269,Adrar,MR,2021-07-14 02:10:26,20.5022,-10.0711,91.98,21,49,2.15
270,Valparaiso,CL,2021-07-14 02:07:31,-33.0393,-71.6273,52.48,73,0,3.44
271,Paamiut,GL,2021-07-14 02:10:27,61.994,-49.6678,43.23,86,100,5.86
272,Sokoni,TZ,2021-07-14 02:10:27,-6.4333,39.55,76.69,75,52,11.68
273,Codrington,AU,2021-07-14 02:10:27,-38.2667,141.9667,53.76,86,97,16.02
274,Ofunato,JP,2021-07-14 02:10:27,39.0717,141.7167,74.95,81,75,7.92
275,Oxford,GB,2021-07-14 02:10:28,51.7522,-1.256,62.42,91,75,6.42
276,Inzer,RU,2021-07-14 02:10:28,54.2167,57.5556,56.79,68,95,1.74
277,Verkh-Usugli,RU,2021-07-14 02:10:28,52.7,115.1667,69.75,55,100,10.87
278,Gornopravdinsk,RU,2021-07-14 02:10:28,60.05,69.9,49.19,57,100,12.59
279,Flin Flon,CA,2021-07-14 02:10:29,54.7682,-101.865,70.14,42,23,6.53
280,Dukat,RU,2021-07-14 02:10:29,62.55,155.55,65.53,43,96,3.98
281,Prince Rupert,CA,2021-07-14 02:07:19,54.3161,-130.3201,55.49,82,90,8.05
282,Marzuq,YE,2021-07-14 02:10:29,14.4,46.4667,75.56,64,100,9.37
283,Aginskoye,RU,2021-07-14 02:10:29,51.1,114.53,65.37,90,100,10.02
284,Srednekolymsk,RU,2021-07-14 02:10:30,67.45,153.6833,61.48,45,10,2.55
285,Ishigaki,JP,2021-07-14 02:10:30,24.3448,124.1572,84.54,76,92,9.46
286,Limbang,MY,2021-07-14 02:10:30,4.75,115.0,82.51,82,100,3.89
287,Dalbandin,PK,2021-07-14 02:10:30,28.8947,64.4101,86.68,45,100,6.35
288,Agropoli,IT,2021-07-14 02:10:31,40.3469,14.9966,75.9,86,22,3.83
289,Hobyo,SO,2021-07-14 02:10:31,5.3505,48.5268,77.41,78,69,19.44
290,Saint-Joseph,RE,2021-07-14 02:05:37,-21.3667,55.6167,66.56,70,1,10.31
291,College,US,2021-07-14 02:10:31,64.8569,-147.8028,81.0,38,75,8.05
292,Puerto Maldonado,PE,2021-07-14 02:10:31,-12.6,-69.1833,80.24,61,93,2.33
293,Tura,IN,2021-07-14 02:10:32,25.5198,90.2201,77.11,90,100,5.99
294,North Branch,US,2021-07-14 02:10:32,45.5113,-92.9802,80.89,73,94,3.44
295,Port Blair,IN,2021-07-14 02:10:32,11.6667,92.75,83.14,78,29,7.94
