City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Raudeberg,NO,61.9875,5.1352,69.4,84,0,11.92,clear sky
249,Upernavik,GL,72.7868,-56.1549,41.25,81,12,13.24,few clouds
250,Qrendi,MT,35.8347,14.4583,81.1,73,0,3.44,clear sky
251,Darhan,MN,49.4867,105.9228,58.41,76,54,4.43,broken clouds
252,Williston,US,48.147,-103.618,95.58,21,0,1.99,clear sky
253,Sitka,US,57.0531,-135.33,57.09,77,75,5.75,light rain
254,Tikapur,NP,28.5,81.1333,82.08,84,100,4.79,overcast clouds
255,Puerto Escondido,MX,15.85,-97.0667,90.43,62,40,10.36,scattered clouds
256,Aonla,IN,28.2833,79.15,86.25,70,100,7.85,overcast clouds
257,Manggar,ID,-2.8833,108.2667,81.03,73,3,14.2,clear sky
258,Sangar,RU,63.9242,127.4739,57.88,73,3,4.41,clear sky
259,Rabo De Peixe,PT,37.8,-25.5833,71.11,78,40,6.91,scattered clouds
260,Adana,TR,36.985,35.2881,81.81,83,0,0.0,clear sky
261,Talcahuano,CL,-36.7167,-73.1167,49.68,100,75,6.91,broken clouds
262,Stokmarknes,NO,68.5646,14.9108,57.51,89,87,3.62,overcast clouds
263,San Patricio,US,28.017,-97.5169,95.72,42,0,13.87,clear sky
264,Besancon,FR,47.2488,6.0182,68.45,100,100,2.04,overcast clouds
265,Hobyo,SO,5.3505,48.5268,76.66,75,29,24.96,scattered clouds
266,Kainantu,PG,-6.2887,145.8655,59.83,98,88,0.47,overcast clouds
267,Ginir,ET,7.1333,40.7,58.23,66,98,12.86,overcast clouds
268,Mukhen,RU,48.1,136.1,72.14,88,98,3.96,overcast clouds
269,Iralaya,HN,15.0,-83.2333,83.93,67,100,8.48,overcast clouds
270,Hami,CN,42.8,93.45,85.69,19,0,8.93,clear sky
271,Katsuura,JP,35.1333,140.3,80.11,83,56,12.08,broken clouds
272,Lunenburg,CA,44.3835,-64.3155,74.41,82,100,14.97,overcast clouds
273,Monrovia,LR,6.3005,-10.7969,76.77,75,98,7.65,overcast clouds
274,Chimbote,PE,-9.0853,-78.5783,68.54,73,20,9.64,few clouds
275,Wynyard,AU,-41.0,145.7167,44.96,89,33,6.42,scattered clouds
276,Sorong,ID,-0.8833,131.25,77.11,87,100,8.99,overcast clouds
277,Harindanga,IN,22.0383,88.3214,84.18,81,100,6.53,overcast clouds
278,Eckernforde,DE,54.4667,9.8333,71.11,89,52,7.25,broken clouds
279,Mwinilunga,ZM,-11.7358,24.4293,58.82,43,0,8.7,clear sky
280,Leisure City,US,25.4954,-80.4292,89.02,73,75,1.99,broken clouds
281,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,78,20,16.11,few clouds
282,Lahat,ID,-3.8,103.5333,68.77,84,4,3.29,clear sky
283,Batagay-Alyta,RU,67.8006,130.4114,58.24,66,74,1.68,broken clouds
284,Baykit,RU,61.67,96.37,64.83,75,34,2.24,scattered clouds
285,Havoysund,NO,70.9963,24.6622,47.28,74,100,7.45,overcast clouds
286,Iqaluit,CA,63.7506,-68.5145,51.53,87,75,5.99,broken clouds
287,Kahului,US,20.8947,-156.47,84.22,83,40,20.71,scattered clouds
288,Salinopolis,BR,-0.6136,-47.3561,82.47,73,92,10.51,overcast clouds
289,Pemberton,CA,50.3164,-122.8027,87.49,36,12,6.71,few clouds
290,Nangomba,TZ,-10.9,38.5,67.33,47,26,3.02,scattered clouds
291,Coihaique,CL,-45.5752,-72.0662,42.75,52,40,8.05,scattered clouds
292,Fremont,US,37.5483,-121.9886,95.2,54,20,1.99,few clouds
293,Bang Mun Nak,TH,16.0278,100.3792,75.63,91,100,9.44,overcast clouds
294,Loukhi,RU,66.0764,33.0381,55.96,79,98,5.19,overcast clouds
295,Achacachi,BO,-16.05,-68.6833,50.72,48,45,10.56,scattered clouds
296,Burns Lake,CA,54.2331,-125.7533,60.22,51,65,7.83,broken clouds
297,Coahuayana,MX,18.7333,-103.6833,90.88,64,72,6.02,broken clouds
298,Dwarka,IN,22.2394,68.9678,82.0,87,100,21.05,very heavy rain
299,Boden,SE,65.8252,21.6886,62.6,82,100,2.66,overcast clouds
300,Auki,SB,-8.7676,160.7034,76.57,88,93,4.7,overcast clouds
301,Bubaque,GW,11.2833,-15.8333,79.41,81,100,9.55,overcast clouds
302,Appleton,US,44.2619,-88.4154,87.89,42,40,5.01,scattered clouds
303,Tinskoy,RU,56.1525,96.9161,61.88,71,91,4.68,overcast clouds
304,San Salvo,IT,42.0433,14.7272,84.99,32,100,11.27,light rain
305,Khairagarh,IN,26.95,77.8167,88.83,63,98,7.05,light rain
